Diagrama de Gantt - Primer Semestre (2025-2026),,,,,,,,,,,,,,,,,,,,,,,,
Actividad,Agosto,,,,Septiembre,,,,Octubre,,,,Noviembre,,,,Diciembre,,,,,,,
,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,,,
CICLO 1: DEFINICIÓN Y VIABILIDAD,,,,,,,,,,,,,,,,,,,,,,,,
  Investigación bibliográfica,,x,x,x,,,,,,,,,,,,,,,,,,,,
  Análisis de requisitos ,,x,x,x,,,,,,,,,,,,,,,,,,,,
  Estudio de herramientas        ,,x,x,x,,,,,,,,,,,,,,,,,,,,
  Definición de arquitectura        ,,,,,x,x,,,,,,,,,,,,,,,,,,
  Selección de tecnologías          ,,,,,x,x,,,,,,,,,,,,,,,,,,
  Evaluación de riesgos             ,,,,,x,x,,,,,,,,,,,,,,,,,,
  Informe Ciclo 1                       ,,,,,,,x,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,
CICLO 2: DISEÑO DE INTERFAZ,,,,,,,,,,,,,,,,,,,,,,,,
  Diseño de wireframes                   ,,,,,,,,x,x,,,,,,,,,,,,,,,
  Prototipos de interfaz                 ,,,,,,,,x,x,,,,,,,,,,,,,,,
  Evaluación de usabilidad                 ,,,,,,,,,x,,,,,,,,,,,,,,,
  Refinamiento de diseños                    ,,,,,,,,,x,x,,,,,,,,,,,,,,
  Implementación básica de UI                ,,,,,,,,,x,x,x,,,,,,,,,,,,,
  Pruebas con usuarios                           ,,,,,,,,,,,,x,,,,,,,,,,,,
  Informe Ciclo 2                                 ,,,,,,,,,,,,,x,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,
CICLO 3: EDITOR DE DIAGRAMAS,,,,,,,,,,,,,,,,,,,,,,,,
  Implementación del editor visual                      ,,,,,,,,,,,,,,x,x,,,,,,,,,
  Manipulación de elementos                         ,,,,,,,,,,,,,,x,x,,,,,,,,,
  Sistema de conexiones                               ,,,,,,,,,,,,,,x,x,,,,,,,,,
  Funcionalidades avanzadas                             ,,,,,,,,,,,,,,,x,x,x,,,,,,,
  Sistema de guardado                                     ,,,,,,,,,,,,,,,,x,x,x,,,,,,
  Pruebas de funcionamiento                                 ,,,,,,,,,,,,,,,,,x,x,,,,,,
  Informe Ciclo 3                                             ,,,,,,,,,,,,,,,,,,,x,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,
EVALUACIÓN SEMESTRAL,,,,,,,,,,,,,,,,,,,,,,,,
  Preparación de informe                                       ,,,,,,,,,,,,,,,,,,x,x,,,,,
  Presentación de avance                                           ,,,,,,,,,,,,,,,,,,,,x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Diagrama de Gantt - Segundo Semestre (2025-2026),,,,,,,,,,,,,,,,,,,,
Actividad,Enero,,,,Febrero,,,,Marzo,,,,Abril,,,,Mayo,,,
,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
CICLO 4: MOTOR DE ANÁLISIS,,,,,,,,,,,,,,,,,,,,
  Carpeta lib/compiler:,,,,,,,,,,,,,,,,,,,,
    token.dart y lexical_analyzer.dart,x,x,,,,,,,,,,,,,,,,,,
    syntax_analyzer.dart,,x,x,,,,,,,,,,,,,,,,,
    semantic_analyzer.dart,,,x,x,,,,,,,,,,,,,,,,
    symbol_table.dart y compiler_errors.dart,,,,x,x,,,,,,,,,,,,,,,
  Carpeta docs:,,,,,,,,,,,,,,,,,,,,
    tema_16_arquitectura_compilador.md,x,x,,,,,,,,,,,,,,,,,,
    tema_17_tabla_simbolos.md,,x,x,,,,,,,,,,,,,,,,,
    tema_18_sistema_errores.md y catalogo,,,x,x,,,,,,,,,,,,,,,,
    Informe Ciclo 4,,,,,x,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CICLO 5: GENERADOR DE CÓDIGO,,,,,,,,,,,,,,,,,,,,
  Carpeta lib/compiler:,,,,,,,,,,,,,,,,,,,,
    ast_nodes.dart,,,,,,x,x,,,,,,,,,,,,,
    code_optimizer.dart,,,,,,,x,x,,,,,,,,,,,,
    code_generator_advanced.dart,,,,,,,,x,x,,,,,,,,,,,
  Carpeta docs:,,,,,,,,,,,,,,,,,,,,
    tema_19_nodos_ast.md,,,,,,x,x,,,,,,,,,,,,,
    tema_20_optimizacion_ast.md,,,,,,,x,x,,,,,,,,,,,,
    tema_21_generacion_codigo.md,,,,,,,,x,x,,,,,,,,,,,
    Informe Ciclo 5,,,,,,,,,,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CICLO 6: INTEGRACIÓN,,,,,,,,,,,,,,,,,,,,
  Carpeta lib/compiler:,,,,,,,,,,,,,,,,,,,,
    compiler.dart y compiler_pipeline.dart,,,,,,,,,,x,x,x,,,,,,,,
  Carpeta docs:,,,,,,,,,,,,,,,,,,,,
    tema_22_integracion_pipeline.md,,,,,,,,,,x,x,,,,,,,,,
    tema_23_pruebas_integracion.md,,,,,,,,,,,x,x,,,,,,,,
    Reporte_Pruebas_Integracion_tecnico.md,,,,,,,,,,,,x,x,,,,,,,
    Informe Ciclo 6,,,,,,,,,,,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CICLO 7: PRUEBAS Y DOCUMENTACIÓN,,,,,,,,,,,,,,,,,,,,
  Carpeta lib/compiler:,,,,,,,,,,,,,,,,,,,,
    Corrección de errores y pruebas,,,,,,,,,,,,,x,x,x,,,,,
  Carpeta docs:,,,,,,,,,,,,,,,,,,,,
    casos_de_uso_tablas.md,,,,,,,,,,,,,,x,x,,,,,
